 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.34888E+00       0.95322E-03      -0.11556E+00       0.44608E+01      -0.12913E+00      -0.17539E+01
      0      1       0.18573E+01      -0.26658E-02      -0.21035E+00       0.61602E+00      -0.13763E+00       0.31795E+00
      0      1       0.18401E+01      -0.40421E-02      -0.31238E+00      -0.10396E+01      -0.14511E+00      -0.10677E+01
      0      1       0.67209E+00       0.10437E-02       0.16795E+00      -0.38892E+01       0.10278E+00       0.18597E+01
      0      1       0.24047E+00      -0.93290E-03       0.33840E-01      -0.22772E+01      -0.29043E+00      -0.29963E+01
      0      1       0.32728E-01      -0.23262E-03      -0.71133E-01       0.31712E+01      -0.27842E+00       0.13745E+01
      0      1       0.25736E+00      -0.17759E-02      -0.31679E+00       0.30471E+01       0.95318E-01       0.15800E+01
      0      1      -0.39720E+00       0.15833E-03       0.66945E-01       0.44709E+00      -0.10245E+00      -0.75828E+00
      0      1      -0.40321E+00      -0.15000E-02      -0.97537E-01       0.51628E+00      -0.75619E-01      -0.23761E+01
      0      1       0.58143E+00      -0.32329E-02      -0.24325E+00      -0.15625E+01       0.90420E-01       0.10343E+01
      0      1       0.10824E+01      -0.71478E-03      -0.13860E+00      -0.78903E+00      -0.22002E+00      -0.90710E+00
      0      1      -0.26849E+01       0.55703E-02       0.42704E+00       0.59125E+01      -0.10716E+00      -0.93061E+00
      0      1       0.43941E+00      -0.58214E-03      -0.14008E+00      -0.13638E+01       0.77196E-01       0.30400E+01
      0      1      -0.73657E+00       0.24410E-02       0.17005E+00       0.26361E+01       0.21576E+00       0.13129E+01
      0      1      -0.49254E+00      -0.42886E-03       0.47359E-01       0.20984E+01      -0.27972E+00      -0.11932E+01
      0      1      -0.51504E-01       0.41313E-03       0.13444E+00      -0.10057E+01       0.15232E+00      -0.89030E+00
      0      1       0.16986E+01      -0.26524E-02      -0.19673E+00      -0.28071E+01       0.34897E+00       0.30225E+01
      0      1      -0.13352E+01       0.20242E-02       0.47599E-01       0.52360E+01      -0.12862E+00       0.95854E+00
      0      1       0.14967E+01      -0.68994E-03       0.91046E-02      -0.37286E+01       0.59999E-01       0.78339E+00
      0      1      -0.49800E+00      -0.32527E-03      -0.72190E-01       0.30453E+01       0.40931E+00       0.12076E+01
