 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.18887E+00      -0.15125E-02      -0.28666E+01      -0.19735E+02      -0.98198E-01       0.63765E+00
      0      1      -0.57476E+00       0.38907E-02      -0.11687E+01      -0.80488E+01       0.13548E+00       0.15101E+01
      0      1      -0.11320E-01      -0.22791E-03       0.34564E+00       0.23819E+01       0.10710E-01      -0.83078E-01
      0      1       0.10730E+01      -0.34068E-02       0.87854E+00       0.60466E+01      -0.30061E+00      -0.16711E+01
      0      1       0.40785E+00      -0.48750E-02       0.16252E+01       0.11190E+02       0.35371E+00       0.83247E+00
      0      1       0.44969E+00      -0.16618E-02      -0.14786E+01      -0.10182E+02      -0.34931E+00      -0.14217E+01
      0      1      -0.91555E+00       0.29983E-02       0.23097E+01       0.15902E+02      -0.38883E+00      -0.25233E+01
      0      1       0.14321E+00      -0.29576E-03       0.18439E+01       0.12699E+02      -0.15670E+00       0.37500E+00
      0      1      -0.54515E+00      -0.10163E-03       0.15660E+01       0.10783E+02      -0.26734E+00       0.58699E+00
      0      1      -0.12294E+01       0.91649E-03      -0.16606E+01      -0.11431E+02      -0.99675E-01      -0.11435E+01
      0      1      -0.55111E+00      -0.71306E-03       0.61697E+00       0.42469E+01       0.53516E+00       0.26660E+01
      0      1      -0.16505E+00      -0.42703E-02       0.12696E+01       0.87408E+01       0.15179E-01      -0.13932E+00
      0      1      -0.48320E+00       0.62262E-03      -0.23486E+01      -0.16171E+02       0.20296E+00      -0.87711E+00
      0      1       0.34182E+00       0.14349E-02       0.33726E+00       0.23216E+01      -0.34925E+00      -0.14959E+01
      0      1      -0.40693E+00       0.25577E-02      -0.22982E+01      -0.15826E+02      -0.48346E+00      -0.91528E+00
      0      1       0.52844E+00      -0.25932E-02       0.21271E+01       0.14647E+02       0.17571E+00      -0.24613E+00
      0      1       0.35788E+00      -0.77429E-03       0.22660E-01       0.15625E+00      -0.42574E+00      -0.74020E+00
      0      1      -0.31644E+00      -0.33443E-02      -0.34343E+00      -0.23661E+01       0.23662E+00      -0.40905E+00
      0      1       0.35459E+00      -0.10041E-02      -0.26618E+00      -0.18353E+01       0.43665E+00       0.74134E+00
      0      1      -0.83058E+00      -0.32340E-02      -0.93515E+00      -0.64376E+01      -0.30811E+00      -0.11655E+01
      0      1      -0.44445E+00       0.44352E-02       0.87817E+00       0.60460E+01      -0.65606E-01       0.42794E+00
      0      1      -0.89142E+00       0.11204E-02       0.17660E+00       0.12157E+01      -0.63447E+00      -0.21889E+01
      0      1       0.75795E+00       0.16843E-02       0.28023E+01       0.19294E+02      -0.64894E+00      -0.25230E+01
